case_id,case_name,symbol,tsym,time,utc,open,high,low,close,volumefrom,volumeto,conversionType,conversionSymbol,context_claims
terra_ust_2022,Terra UST collapse,USTC,USD,1652014800,2022-05-08T13:00:00Z,0.9923,0.9932,0.9907,0.9916,6113845.82,6067948.27,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652018400,2022-05-08T14:00:00Z,0.9916,0.9959,0.9914,0.9957,16674115.05,16586595.09,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652022000,2022-05-08T15:00:00Z,0.9957,0.9978,0.9957,0.9972,37520854.39,37402372.46,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652025600,2022-05-08T16:00:00Z,0.9972,0.9974,0.9961,0.9964,16946357.57,16890908.46,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652029200,2022-05-08T17:00:00Z,0.9964,0.9965,0.9953,0.9954,7432887.09,7402300.8,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652032800,2022-05-08T18:00:00Z,0.9954,0.9955,0.9947,0.995,2039619.95,2029482.6,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652036400,2022-05-08T19:00:00Z,0.995,0.9951,0.9947,0.9949,591465.89,588474.26,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652040000,2022-05-08T20:00:00Z,0.9949,0.9951,0.9946,0.9948,597268.61,594071.26,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652043600,2022-05-08T21:00:00Z,0.9948,0.9955,0.9948,0.9954,814265.87,810298.15,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652047200,2022-05-08T22:00:00Z,0.9954,0.9954,0.994,0.995,10508894.58,10448974.65,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652050800,2022-05-08T23:00:00Z,0.995,0.9952,0.9946,0.9948,757380.53,754956.96,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652054400,2022-05-09T00:00:00Z,0.9948,0.9953,0.9947,0.9951,1292422.73,1285494.78,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652058000,2022-05-09T01:00:00Z,0.9951,0.9958,0.9947,0.9955,1802990.38,1794586.35,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652061600,2022-05-09T02:00:00Z,0.9955,0.9955,0.9942,0.9945,2316202.7,2303613.01,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652065200,2022-05-09T03:00:00Z,0.9945,0.9956,0.9944,0.9953,2272436.45,2261426.71,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652068800,2022-05-09T04:00:00Z,0.9953,0.9953,0.9947,0.9952,2467314.06,2454784.77,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652072400,2022-05-09T05:00:00Z,0.9952,0.9956,0.9942,0.9944,5072104.31,5047454.96,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652076000,2022-05-09T06:00:00Z,0.9944,0.9946,0.9926,0.9945,1470642.41,1461674.02,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652079600,2022-05-09T07:00:00Z,0.9945,0.9946,0.9921,0.9944,1486086.94,1477720.55,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652083200,2022-05-09T08:00:00Z,0.9944,0.9944,0.994,0.9943,1220483.92,1213511.83,direct,,CLAIM_107
