source_id,chain,token_symbol,gecko_id,total_circulating_usd
DEFILLAMA_002,smartBCH,BCH,bitcoin-cash,37102584.02918776
DEFILLAMA_002,Acala,ACA,acala,0.0
DEFILLAMA_002,Ergo,ERG,ergo,178558.19291009486
DEFILLAMA_002,Kujira,KUJI,kujira,673692.609802
DEFILLAMA_002,EthereumPoW,ETHW,ethereum-pow-iou,726785.1404969597
DEFILLAMA_002,re.al,RWA,re-al,0.0
DEFILLAMA_002,Concordium,CCD,concordium,
DEFILLAMA_002,Secret,SCRT,secret,
DEFILLAMA_002,Penumbra,UM,penumbra,479.35285854609003
DEFILLAMA_002,Agoric,BLD,agoric,154167.20769511725
DEFILLAMA_002,Swellchain,,,115725.50980611757
DEFILLAMA_002,VeChain,VET,vechain,9846.362707894008
DEFILLAMA_002,Q Protocol,QGOV,,
DEFILLAMA_002,Bifrost Network,BFC,bifrost,3003554.2587016947
DEFILLAMA_002,Archway,ARCH,archway,17577.257595020536
DEFILLAMA_002,Icon,ICX,icon,951481.6009862664
DEFILLAMA_002,Havah,,,4.460989787158403
DEFILLAMA_002,BEVM,,,0.0
DEFILLAMA_002,Filecoin,FIL,filecoin,159991.48407002536
DEFILLAMA_002,Abcore,,,18507046.025655344
DEFILLAMA_002,Songbird,SGB,songbird,1159237.2845251742
DEFILLAMA_002,Provenance,HASH,hash-2,210903956.35157156
DEFILLAMA_002,TAC,TAC,tac,0.2917499215340729
DEFILLAMA_002,Mezo,MEZO,mezo,29787255.068157516
DEFILLAMA_002,Hydration,HDX,hydradx,11044284.997867806
DEFILLAMA_002,Saga,SAGA,saga-2,77647906.88778687
DEFILLAMA_002,Chia,XCH,chia,28165.198391369897
DEFILLAMA_002,Voi Network,VOI,voi-network,11112.250345235676
